index,filename,source_filename,original_format,arkid,source,owner,license,original_url,family,standardized_species
16,ark-_65665_m30ca7190b5b3d46dea8f11dd1a40100ca.jpg,ark-_65665_m30ca7190b5b3d46dea8f11dd1a40100ca.jpg,jpg,7472gv22,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/7472gv22.jpg,hapalogenyidae,hapalogenys analis
17,ark-_65665_m39803b316156b4b198cc7c558a783df7a.jpg,ark-_65665_m39803b316156b4b198cc7c558a783df7a.jpg,jpg,8d98z350,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/8d98z350.jpg,siganidae,siganus unimaculatus
18,1406027371211P1I76CNffGalg3dK.jpg,1406027371211P1I76CNffGalg3dK.jpg,jpg,t036gw4g,iDigBio,mnhn,CC BY-NC-ND,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mnhn/t036gw4g.jpg,ariidae,arius madagascariensis
19,1506696832739zxFPUiOFyCn3Tw4r#1.jpg,1506696832739zxFPUiOFyCn3Tw4r.jpg,jpg,5216g62n,iDigBio,mnhn,CC BY,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mnhn/5216g62n.jpg,stomiidae,stomias colubrinus
20,m329243730-c522-46bf-9cde-71eb740ebd58.jpg,m329243730-c522-46bf-9cde-71eb740ebd58.jpg,jpg,c093r709,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/c093r709.jpg,gerreidae,gerres erythrourus
21,ark-_65665_m3a1dfb8e235d445c882c6d187689528c1.jpg,ark-_65665_m3a1dfb8e235d445c882c6d187689528c1.jpg,jpg,xp963b13,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/xp963b13.jpg,plesiopidae,acanthoplesiops echinatus
22,IMG_9190-S.jpg,IMG_9190-S.jpg,jpg,dj71x14r,iDigBio,nhmuk,CC BY 4.0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/nhmuk/dj71x14r.jpg,nothobranchiidae,nothobranchius oestergaardi
23,1406028815212h79wNTO8XxsBf71Z.jpg,1406028815212h79wNTO8XxsBf71Z.jpg,jpg,wr60q126,iDigBio,mnhn,CC BY-NC-ND,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mnhn/wr60q126.jpg,gerreidae,eucinostomus argenteus
24,m3bca3853b-476e-4608-bed7-00a5bfcb6939.jpg,m3bca3853b-476e-4608-bed7-00a5bfcb6939.jpg,jpg,xc000n93,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/xc000n93.jpg,gerreidae,gerres erythrourus
25,IMG_2709_CEK_rev_wm.jpg,IMG_2709_CEK_rev_wm.jpg,jpg,3553771p,iDigBio,cas,CC0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/cas/3553771p.jpg,stomiidae,chauliodus macouni
26,1467704692863CRKum62uuijOQSDJ.jpg,1467704692863CRKum62uuijOQSDJ.jpg,jpg,vv53gr29,iDigBio,mnhn,CC BY,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mnhn/vv53gr29.jpg,samaridae,samaris chesterfieldensis
27,ark-_65665_m3f52e98a656a3408ebfdec443271d549f.jpg,ark-_65665_m3f52e98a656a3408ebfdec443271d549f.jpg,jpg,0r98rf91,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/0r98rf91.jpg,prochilodontidae,prochilodus rubrotaeniatus
28,6706_Gasterosteus_plebius_ST#0.jpg,6706_Gasterosteus_plebius_ST.jpg,jpg,4b397d7p,iDigBio,mcz,CC BY-NC-SA 3.0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mcz/4b397d7p.jpg,gasterosteidae,gasterosteus aculeatus
29,6706_Gasterosteus_plebius_ST#2.jpg,6706_Gasterosteus_plebius_ST.jpg,jpg,4b397d7p,iDigBio,mcz,CC BY-NC-SA 3.0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mcz/4b397d7p.jpg,gasterosteidae,gasterosteus aculeatus
30,5262-p#0.jpg,5262-p.jpg,jpg,w5512c91,iDigBio,cas,CC0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/cas/w5512c91.jpg,exocoetidae,cheilopogon papilio
31,ark-_65665_m3160bdf5681e34d9abbea36ca7c860252.jpg,ark-_65665_m3160bdf5681e34d9abbea36ca7c860252.jpg,jpg,nh54f75m,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/nh54f75m.jpg,scombridae,scomber australasicus
32,31580_Rivulus_beniensis_ST.jpg,31580_Rivulus_beniensis_ST.jpg,jpg,rm33q471,iDigBio,mcz,CC BY-NC-SA 3.0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mcz/rm33q471.jpg,rivulidae,anablepsoides beniensis
33,su17101-p#1.jpg,su17101-p.jpg,jpg,rg53mt8k,iDigBio,cas,CC0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/cas/rg53mt8k.jpg,cetomimidae,cetomimus teevani
34,ark-_65665_m3944b2ae9f6fb417b8e2b292c8216c377.jpg,ark-_65665_m3944b2ae9f6fb417b8e2b292c8216c377.jpg,jpg,dj703x2n,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/dj703x2n.jpg,monodactylidae,monodactylus argenteus
35,de04bc0f-08a0-4fb4-9e42-bbb1ff963c4e.jpg,de04bc0f-08a0-4fb4-9e42-bbb1ff963c4e.jpg,jpg,xj34nj21,iDigBio,uf,CC BY-NC,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/uf/xj34nj21.jpg,siluridae,ompok bimaculatus
36,ark-_65665_m361873bb278a241cca419779a746d8a6d.jpg,ark-_65665_m361873bb278a241cca419779a746d8a6d.jpg,jpg,6d84fk89,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/6d84fk89.jpg,emmelichthyidae,erythrocles monodi
37,ark-_65665_m37393cba6f7bc4b1b8d3cd95b7fbfe2d9.jpg,ark-_65665_m37393cba6f7bc4b1b8d3cd95b7fbfe2d9.jpg,jpg,g016st91,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/g016st91.jpg,terapontidae,terapon puta
38,"BMNH 1864.1.26.309, SYNTYPE, Macrodon microlepis-S.jpg","BMNH 1864.1.26.309, SYNTYPE, Macrodon microlepis-S.jpg",jpg,v0892r1r,iDigBio,nhmuk,CC BY 4.0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/nhmuk/v0892r1r.jpg,erythrinidae,hoplias microlepis
39,1881_1_5_603-606 (4) a-S.jpg,1881_1_5_603-606 (4) a-S.jpg,jpg,sg854r5g,iDigBio,nhmuk,CC BY 4.0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/nhmuk/sg854r5g.jpg,hemiodontidae,parodon pongoensis
40,ark-_65665_m319f06ae5344e4f3e935df3a71a7edec0.jpg,ark-_65665_m319f06ae5344e4f3e935df3a71a7edec0.jpg,jpg,nm07bv12,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/nm07bv12.jpg,uranoscopidae,uranoscopus marmoratus
41,1919.7.24.20-7g_Allabenchelys dhonti_l-S.jpg,1919.7.24.20-7g_Allabenchelys dhonti_l-S.jpg,jpg,2q13nj6q,iDigBio,nhmuk,CC BY 4.0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/nhmuk/2q13nj6q.jpg,clariidae,clarias dhonti
42,1907.12.23.56-59b_Liobagrus sugubii_l-S.jpg,1907.12.23.56-59b_Liobagrus sugubii_l-S.jpg,jpg,nt67bp45,iDigBio,nhmuk,CC BY 4.0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/nhmuk/nt67bp45.jpg,amblycipitidae,liobagrus sugubii
43,ark-_65665_m3d9b2564320644e61962138f0c11c3165.jpg,ark-_65665_m3d9b2564320644e61962138f0c11c3165.jpg,jpg,26968c2r,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/26968c2r.jpg,diodontidae,cyclichthys orbicularis
44,ark-_65665_m36c1d0a6f335d419baa72b0e0aac12b9c.jpg,ark-_65665_m36c1d0a6f335d419baa72b0e0aac12b9c.jpg,jpg,qj14xq3t,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/qj14xq3t.jpg,leiognathidae,aurigequula fasciata
45,14060276152476pq8ofXWcRxM5reU.jpg,14060276152476pq8ofXWcRxM5reU.jpg,jpg,ts56865j,iDigBio,mnhn,CC BY-NC-ND,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mnhn/ts56865j.jpg,kneriidae,cromeria nilotica
46,SU09522-p#1.jpg,SU09522-p.jpg,jpg,wb17gb44,iDigBio,cas,CC0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/cas/wb17gb44.jpg,zoarcidae,melanostigma atlanticum
47,87f03ee5-0afa-45a2-a84b-3d4324bfd58b.jpg,87f03ee5-0afa-45a2-a84b-3d4324bfd58b.jpg,jpg,j627d74h,iDigBio,uf,CC BY-NC,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/uf/j627d74h.jpg,osphronemidae,betta edithae
48,1895.5.17.50-52b_Oxydoras eigenmanni_l-S.jpg,1895.5.17.50-52b_Oxydoras eigenmanni_l-S.jpg,jpg,83292x23,iDigBio,nhmuk,CC BY 4.0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/nhmuk/83292x23.jpg,doradidae,ossancora eigenmanni
49,ark-_65665_m3c418166cc3bb491b9010b68e8b79a6f5#0.jpg,ark-_65665_m3c418166cc3bb491b9010b68e8b79a6f5.jpg,jpg,pj74bd4b,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/pj74bd4b.jpg,chanidae,chanos chanos
50,5504-p#1.jpg,5504-p.jpg,jpg,x654df8v,iDigBio,cas,CC0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/cas/x654df8v.jpg,exocoetidae,prognichthys brevipinnis
51,47457abe-986c-4423-a410-b6acd5ce95a5.jpg,47457abe-986c-4423-a410-b6acd5ce95a5.jpg,jpg,7q85q01c,iDigBio,uf,CC BY-NC,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/uf/7q85q01c.jpg,channidae,channa marulius
52,ark-_65665_m3a28fd974e2604b4ab57f4dbf25c05912.jpg,ark-_65665_m3a28fd974e2604b4ab57f4dbf25c05912.jpg,jpg,dr30g657,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/dr30g657.jpg,pempheridae,pempheris xanthoptera
53,m3b2d2e0e1-3c46-4607-92d5-e5bdb44c8a1e.jpg,m3b2d2e0e1-3c46-4607-92d5-e5bdb44c8a1e.jpg,jpg,sp21243j,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/sp21243j.jpg,sillaginidae,sillago sihama
54,ark-_65665_m34105de2bef0a4b9797f1f0eb60cc9446.jpg,ark-_65665_m34105de2bef0a4b9797f1f0eb60cc9446.jpg,jpg,nh435w4v,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/nh435w4v.jpg,polynemidae,polydactylus plebeius
55,ark-_65665_m38f7dd952d7e942c389fd647e15539c2c.jpg,ark-_65665_m38f7dd952d7e942c389fd647e15539c2c.jpg,jpg,2117km02,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/2117km02.jpg,belonidae,tylosurus crocodilus
56,P4200103-S.jpg,P4200103-S.jpg,jpg,68231m88,iDigBio,nhmuk,CC BY 4.0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/nhmuk/68231m88.jpg,curimatidae,curimata cyprinoides
57,80243-p#0.jpg,80243-p.jpg,jpg,md52bh50,iDigBio,cas,CC0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/cas/md52bh50.jpg,doradidae,megalodoras uranoscopus
58,7f619528-1116-42fd-bc2e-95780c76fc42.jpg,7f619528-1116-42fd-bc2e-95780c76fc42.jpg,jpg,t424hc7j,iDigBio,uf,CC BY-NC,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/uf/t424hc7j.jpg,osphronemidae,betta anabatoides
59,3505_Lepomis_microlophus.jpg,3505_Lepomis_microlophus.jpg,jpg,qd79nm04,iDigBio,mcz,CC BY-NC-SA 3.0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mcz/qd79nm04.jpg,centrarchidae,lepomis microlophus
62,122228-p#0.jpg,122228-p.jpg,jpg,vt45vm0p,iDigBio,cas,CC0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/cas/vt45vm0p.jpg,pimelodidae,platynematichthys notatus
63,9f76c875-760b-4b6d-a8e6-23ee46fa9521.jpg,9f76c875-760b-4b6d-a8e6-23ee46fa9521.jpg,jpg,zh70ws62,iDigBio,uf,CC BY-NC,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/uf/zh70ws62.jpg,pristolepididae,pristolepis fasciata
64,63613e45-476f-40b3-8b81-4e267f6d70c1.jpg,63613e45-476f-40b3-8b81-4e267f6d70c1.jpg,jpg,3b80g940,iDigBio,uf,CC BY-NC,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/uf/3b80g940.jpg,fundulidae,fundulus escambiae
65,m35de576bd-ef7a-4852-bff8-d8f65e293bd5.jpg,m35de576bd-ef7a-4852-bff8-d8f65e293bd5.jpg,jpg,dx065173,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/dx065173.jpg,siganidae,siganus spinus
66,ark-_65665_m3585f2773d5b14e919689855fa53cf7ee.jpg,ark-_65665_m3585f2773d5b14e919689855fa53cf7ee.jpg,jpg,ts17dp7m,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/ts17dp7m.jpg,pinguipedidae,parapercis hexophtalma
68,59826-p#0.jpg,59826-p.jpg,jpg,fc928h2b,iDigBio,cas,CC0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/cas/fc928h2b.jpg,polycentridae,monocirrhus polyacanthus
69,ark-_65665_m38730c88b9a5041399aa8416f3ff21af9.jpg,ark-_65665_m38730c88b9a5041399aa8416f3ff21af9.jpg,jpg,rm59mt7c,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/rm59mt7c.jpg,terapontidae,terapon jarbua
70,ark-_65665_m3ecc031bee74440fd94206346b95300fe#1.jpg,ark-_65665_m3ecc031bee74440fd94206346b95300fe.jpg,jpg,7c644x0v,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/7c644x0v.jpg,chaenopsidae,stathmonotus stahli
71,ark-_65665_m369c79b84bc1641dcaf1bce12b8e78122.jpg,ark-_65665_m369c79b84bc1641dcaf1bce12b8e78122.jpg,jpg,ss68sz3z,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/ss68sz3z.jpg,curimatidae,curimata aspera
72,35881_Thulipiaba_pycnodon_T.jpg,35881_Thulipiaba_pycnodon_T.jpg,jpg,3279vf7x,iDigBio,mcz,CC BY-NC-SA 3.0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mcz/3279vf7x.jpg,bryconidae,brycon henni
73,m30c983bd2-58b8-4da4-91a2-b47ba094dd76.jpg,m30c983bd2-58b8-4da4-91a2-b47ba094dd76.jpg,jpg,jw30n91t,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/jw30n91t.jpg,priacanthidae,pristigenys niphonia
74,ark-_65665_m3049cbf11223143ad84e3519b4f10c983.jpg,ark-_65665_m3049cbf11223143ad84e3519b4f10c983.jpg,jpg,gj27br8g,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/gj27br8g.jpg,tetrarogidae,vespicula trachinoides
75,SU53806-p_lg#4.jpg,SU53806-p_lg.jpg,jpg,xt321w7p,iDigBio,cas,CC0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/cas/xt321w7p.jpg,rivulidae,rivulus
76,SU53806-p_lg#5.jpg,SU53806-p_lg.jpg,jpg,xt321w7p,iDigBio,cas,CC0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/cas/xt321w7p.jpg,rivulidae,rivulus
77,m3604cc14c-0748-4b2c-b2b2-fde28b8576a9.jpg,m3604cc14c-0748-4b2c-b2b2-fde28b8576a9.jpg,jpg,jv792b82,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/jv792b82.jpg,sillaginidae,sillago sihama
78,153168df-7b10-478a-b637-3f4668927012.jpg,153168df-7b10-478a-b637-3f4668927012.jpg,jpg,9167jf7x,iDigBio,uf,CC BY-NC,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/uf/9167jf7x.jpg,centrarchidae,chaenobryttus gulosus
79,19881-p#2.jpg,19881-p.jpg,jpg,c345k79z,iDigBio,cas,CC0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/cas/c345k79z.jpg,curimatidae,steindachnerina hypostoma
80,1534425988786rz81COQ8Sd1QvcrF.jpg,1534425988786rz81COQ8Sd1QvcrF.jpg,jpg,30897z4d,iDigBio,mnhn,CC BY,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mnhn/30897z4d.jpg,sternoptychidae,sternoptyx diaphana
81,ark-_65665_m34c8e74b7f7d24cf4a42c1fdd301480bf.jpg,ark-_65665_m34c8e74b7f7d24cf4a42c1fdd301480bf.jpg,jpg,4f735q77,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/4f735q77.jpg,plesiopidae,plesiops coeruleolineatus
82,m328b65bba-8516-4c66-90bc-ae2c0c57eec0.jpg,m328b65bba-8516-4c66-90bc-ae2c0c57eec0.jpg,jpg,kg53431b,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/kg53431b.jpg,exocoetidae,cheilopogon spilonotopterus
83,ark-_65665_m329e7dce189e340dd81669d1539bf5830.jpg,ark-_65665_m329e7dce189e340dd81669d1539bf5830.jpg,jpg,3801t64t,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/3801t64t.jpg,caesionidae,pterocaesio chrysozona
84,25014_Lepomis_symmetricus_ST.jpg,25014_Lepomis_symmetricus_ST.jpg,jpg,3j48z47h,iDigBio,mcz,CC BY-NC-SA 3.0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mcz/3j48z47h.jpg,centrarchidae,lepomis symmetricus
85,1481822813596JDSaHB2mVsUErg57.jpg,1481822813596JDSaHB2mVsUErg57.jpg,jpg,gc66588c,iDigBio,mnhn,CC BY,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mnhn/gc66588c.jpg,megalopidae,megalops cyprinoides
87,ark-_65665_m32afbb18f5e1b4f1faf9a7297432e754e.jpg,ark-_65665_m32afbb18f5e1b4f1faf9a7297432e754e.jpg,jpg,pj099170,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/pj099170.jpg,bythitidae,ogilbia jeffwilliamsi
88,100185-p#0.jpg,100185-p.jpg,jpg,n106qb63,iDigBio,cas,CC0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/cas/n106qb63.jpg,moridae,physiculus rastrelliger
89,4b0fd5b7-9caa-4ef4-848b-96abdd383290.jpg,4b0fd5b7-9caa-4ef4-848b-96abdd383290.jpg,jpg,qk69fm59,iDigBio,uf,CC BY-NC,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/uf/qk69fm59.jpg,acipenseridae,acipenser oxyrinchus
90,ark-_65665_m3e30506c7aa1643fdb1de96fec92be239.jpg,ark-_65665_m3e30506c7aa1643fdb1de96fec92be239.jpg,jpg,kp41gt07,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/kp41gt07.jpg,caesionidae,caesio striata
91,1905_7_29_2-5_3-S.jpg,1905_7_29_2-5_3-S.jpg,jpg,3547sr69,iDigBio,nhmuk,CC BY 4.0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/nhmuk/3547sr69.jpg,galaxiidae,galaxias rostratus
92,1905_7_29_2-5_2-S.jpg,1905_7_29_2-5_2-S.jpg,jpg,sd274m1z,iDigBio,nhmuk,CC BY 4.0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/nhmuk/sd274m1z.jpg,galaxiidae,galaxias rostratus
93,ark-_65665_m35dc212f79b144412a692c0b6a6804cce.jpg,ark-_65665_m35dc212f79b144412a692c0b6a6804cce.jpg,jpg,n8125j6g,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/n8125j6g.jpg,terapontidae,terapon puta
94,m3c70a52e7-0699-4e42-960e-892ea654a9f7.jpg,m3c70a52e7-0699-4e42-960e-892ea654a9f7.jpg,jpg,js731p56,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/js731p56.jpg,microdesmidae,ptereleotris evides
95,ark-_65665_m3dc9f3c19a6ff4940bf1c6a7c379a6032.jpg,ark-_65665_m3dc9f3c19a6ff4940bf1c6a7c379a6032.jpg,jpg,2q54h973,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/2q54h973.jpg,ariidae,ariidae
96,ark-_65665_m396942f7ac9c240759ed09fe1eb440a72.jpg,ark-_65665_m396942f7ac9c240759ed09fe1eb440a72.jpg,jpg,t640zv8x,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/t640zv8x.jpg,dinopercidae,dinoperca petersi
97,ark-_65665_m3aa8870b0f5d14312ae1889594463ea88.jpg,ark-_65665_m3aa8870b0f5d14312ae1889594463ea88.jpg,jpg,37810j4x,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/37810j4x.jpg,triglidae,pterygotrigla spirai
98,92173_Maurolicus_weitzmani.jpg,92173_Maurolicus_weitzmani.jpg,jpg,t523011j,iDigBio,mcz,CC BY-NC-SA 3.0,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/mcz/t523011j.jpg,sternoptychidae,maurolicus weitzmani
99,ark-_65665_m3fa8a712622984a8fadcd4d0502b416b0.jpg,ark-_65665_m3fa8a712622984a8fadcd4d0502b416b0.jpg,jpg,9k22q29f,iDigBio,usnm,Usage Conditions Apply,https://fishair.org/hdr-share/ftp/ark/89609/iDigBio/usnm/9k22q29f.jpg,gerreidae,gerres oyena
